id;first_name;last_name;phone;tier;loyalty_points
1;Tyra;Kassulke;(474) 308-1742 x664;SILVER;2358
2;Rosamond;Hand;395-269-1464 x955;BRONZE;32020
3;Jaquelin;Jast;(371) 488-7400 x17440;SILVER;13979
4;Darrell;Lowe;486.233.2088 x619;BRONZE;5558
5;Kirk;Moore;288-482-8520;SILVER;18148
6;Pinkie;Homenick;540-462-8389 x8744;GOLD;24430
7;Sister;Mayer;289-623-5846 x63393;SILVER;14788
8;Rod;Mohr;547.516.8861 x17968;BRONZE;13761
9;Sarah;Runte;541-626-5465 x01197;GOLD;5331
10;Theodore;Sanford;1-980-880-0256;GOLD;5908
