id;email;notified;created_at
1;Percival.Gutkowski10@gmail.com;true;2025-11-06T02:17:36
2;Lenore_Balistreri@hotmail.com;false;2025-11-05T23:37:01
3;Guadalupe.Haag@yahoo.com;true;2025-11-06T02:30:30
4;Verdie10@gmail.com;false;2025-11-06T09:34:32
5;Ona.Gibson@yahoo.com;false;2025-11-06T07:53:14
6;Florencio_Wisoky@gmail.com;false;2025-11-06T05:51:10
7;Jazmin_Reinger97@gmail.com;false;2025-11-05T22:34:56
8;Rashawn_Wehner59@gmail.com;true;2025-11-06T02:41:56
9;Abraham.Jones6@hotmail.com;true;2025-11-05T12:58:54
10;Fannie_Bashirian@yahoo.com;false;2025-11-05T23:29:28
